"Plot Title: 20965820 - Midden"
"#","Date Time, GMT+02:00","Volt, V (LGR S/N: 20965820, SEN S/N: 20965820, LBL: Blue - Air)","Volt, V (LGR S/N: 20965820, SEN S/N: 20965820, LBL: Brown - leaf)","Volt, V (LGR S/N: 20965820, SEN S/N: 20965820, LBL: Surface)","Volt, V (LGR S/N: 20965820, SEN S/N: 20965820, LBL: Tissue)"
133,05/07/21 01:49:57 PM,1.30724,1.36248,1.34260,1.30682
134,05/07/21 01:49:58 PM,1.31430,1.36366,1.34363,1.30858
135,05/07/21 01:49:59 PM,1.31334,1.36416,1.34340,1.30034
136,05/07/21 01:50:00 PM,1.30781,1.36389,1.34241,1.29534
137,05/07/21 01:50:01 PM,1.30632,1.36427,1.34222,1.29881
138,05/07/21 01:50:02 PM,1.31052,1.36568,1.34337,1.30503
139,05/07/21 01:50:03 PM,1.31434,1.36786,1.34382,1.31262
140,05/07/21 01:50:04 PM,1.31632,1.36984,1.34257,1.31514
141,05/07/21 01:50:05 PM,1.32216,1.37217,1.34291,1.31762
142,05/07/21 01:50:06 PM,1.32162,1.37430,1.34302,1.31292
143,05/07/21 01:50:07 PM,1.31773,1.37564,1.34215,1.31052
144,05/07/21 01:50:08 PM,1.31613,1.37648,1.34150,1.31338
145,05/07/21 01:50:09 PM,1.32029,1.37831,1.34264,1.31956
146,05/07/21 01:50:10 PM,1.32219,1.37964,1.34291,1.32082
147,05/07/21 01:50:11 PM,1.32292,1.38018,1.34344,1.32227
148,05/07/21 01:50:12 PM,1.32464,1.38041,1.34493,1.32136
149,05/07/21 01:50:13 PM,1.32341,1.38067,1.34604,1.31605
150,05/07/21 01:50:14 PM,1.31609,1.38037,1.34623,1.30785
151,05/07/21 01:50:15 PM,1.31189,1.37938,1.34691,1.30892
152,05/07/21 01:50:16 PM,1.31212,1.37793,1.34783,1.31197
153,05/07/21 01:50:17 PM,1.31712,1.37797,1.34855,1.32109
154,05/07/21 01:50:18 PM,1.33066,1.38033,1.35046,1.33253
155,05/07/21 01:50:19 PM,1.33776,1.38350,1.35248,1.33883
156,05/07/21 01:50:20 PM,1.33890,1.38659,1.35443,1.33978
157,05/07/21 01:50:21 PM,1.34009,1.38937,1.35615,1.33967
158,05/07/21 01:50:22 PM,1.33707,1.39220,1.35737,1.33688
159,05/07/21 01:50:23 PM,1.32830,1.39334,1.35851,1.33024
160,05/07/21 01:50:24 PM,1.32441,1.39448,1.35935,1.32700
161,05/07/21 01:50:25 PM,1.32208,1.39456,1.36011,1.32685
162,05/07/21 01:50:26 PM,1.32353,1.39425,1.36091,1.32376
163,05/07/21 01:50:27 PM,1.31815,1.39384,1.36042,1.31559
164,05/07/21 01:50:28 PM,1.31556,1.39006,1.36019,1.31762
165,05/07/21 01:50:29 PM,1.31544,1.38884,1.36103,1.31865
166,05/07/21 01:50:30 PM,1.31701,1.38926,1.36179,1.31888
167,05/07/21 01:50:31 PM,1.31659,1.38975,1.36137,1.31132
168,05/07/21 01:50:32 PM,1.31373,1.39010,1.36107,1.30858
169,05/07/21 01:50:33 PM,1.31643,1.39185,1.36179,1.31487
170,05/07/21 01:50:34 PM,1.32219,1.39334,1.36271,1.32078
171,05/07/21 01:50:35 PM,1.32654,1.39406,1.36351,1.32975
172,05/07/21 01:50:36 PM,1.31167,1.39292,1.36229,1.30407
173,05/07/21 01:50:37 PM,1.29026,1.38712,1.35855,1.28920
174,05/07/21 01:50:38 PM,1.28450,1.38373,1.35744,1.28653
